count,temperature,P1
4,1.5,0.3376623377
4,1.5,0.3766233766
4,1.5,0.2077922078
4,1.5,0.3506493506
4,1.5,0.09090909091
4,1.5,0.3376623377
4,1.5,0.1168831169
4,1.5,0.1038961039
4,1.25,0.07792207792
4,1.25,0.03896103896
4,1.25,0.3376623377
4,1.25,0.09090909091
4,1.25,0.3766233766
4,1.25,0.3506493506
4,1.25,0.2857142857
4,1.25,0.03896103896
4,1.25,0.4025974026
4,1.25,0.1428571429
4,0.75,0.2857142857
4,0.75,0.2857142857
4,0.75,0.2337662338
4,0.75,0.2727272727
4,0.75,0.3246753247
4,0.75,0.3246753247
4,0.75,0.4025974026
4,0.75,0.01298701299
4,0.75,0.2857142857
4,0.75,0.2857142857
5,0.5,0.3116883117
5,0.5,0.4155844156
5,0.5,0.3116883117
5,0.5,0.3506493506
5,0.5,0.3116883117
5,0.5,0.1168831169
5,0.5,0.4025974026
5,0.5,0.1428571429
5,0.5,0.3766233766
5,0.5,0.09090909091
5,1,0.03896103896
5,1,0.3506493506
5,1,0.09090909091
5,1,0.02597402597
5,1,0.3506493506
5,1,0.1558441558
5,1,0.2857142857
5,1,0.2467532468
5,1,0.2857142857
5,1,0.3636363636
5,1.5,0.3376623377
5,1.5,0.2727272727
5,1.5,0.2467532468
5,1.5,0.3506493506
5,1.5,0.2597402597
5,1.5,0.3506493506
5,1.5,0.06493506494
5,1.5,0.1168831169
5,1.5,0.2857142857
5,1.5,0.2987012987
5,1.25,0.2727272727
5,1.25,0.3636363636
5,1.25,0.06493506494
5,1.25,0.2337662338
5,1.25,0.2727272727
5,1.25,0.09090909091
5,1.25,0.3376623377
5,1.25,0.4155844156
5,1.25,0.3246753247
5,1.25,0.07792207792
5,0.75,0.1298701299
5,0.75,0.2597402597
5,0.75,0.2077922078
5,0.75,0.3376623377
5,0.75,0.2987012987
5,0.75,0.09090909091
5,0.75,0.07792207792
5,0.75,0.3246753247
5,0.75,0.2207792208
5,0.75,0.2857142857
10,1,0.3506493506
10,1,0.3116883117
10,1,0.2987012987
10,1,0.3766233766
10,1,0.3636363636
10,1,0.2597402597
10,1,0.3376623377
10,1,0.3116883117
10,1,0.1168831169
10,1,0.3376623377
10,1.5,0.3246753247
10,1.5,0.3636363636
10,1.5,0.3636363636
10,1.5,0.3636363636
10,1.5,0.3116883117
10,1.5,0.4415584416
10,1.5,0.06493506494
10,1.5,0.3636363636
10,1.5,0.2597402597
10,1.5,0.3116883117
10,0.5,0.4025974026
10,0.5,0.3896103896
10,0.5,0.4025974026
10,0.5,0.1038961039
10,0.5,0.06493506494
10,0.5,0.2727272727
10,0.5,0.4025974026
10,0.5,0.1558441558
10,0.5,0.3636363636
10,0.5,0.3896103896
10,1.25,0.3376623377
10,1.25,0.3506493506
10,1.25,0.4155844156
10,1.25,0.3116883117
10,1.25,0.2207792208
10,1.25,0.1038961039
10,1.25,0.2727272727
10,1.25,0.3376623377
10,1.25,0.3246753247
10,1.25,0.1038961039
10,0.75,0.4155844156
10,0.75,0.2857142857
10,0.75,0.3116883117
10,0.75,0.4415584416
10,0.75,0.1168831169
10,0.75,0.06493506494
10,0.75,0.4025974026
10,0.75,0.4025974026
10,0.75,0.3246753247
10,0.75,0.3376623377
