count,temperature,values
4,0.5,"[0.2077922077922078, 0.5, 0.2857142857142857, 0.5]"
4,0.5,"[0.2597402597402597, 0.5, 0.44155844155844154, 0.20588235294117646]"
4,0.5,"[0.11688311688311688, 0.5555555555555556, 0.09090909090909091, 0.8571428571428571]"
4,0.5,"[0.24675324675324675, 0.47368421052631576, 0.37662337662337664, 0.2413793103448276]"
4,0.5,"[0.2857142857142857, 0.4090909090909091, 0.19480519480519481, 0.4666666666666667]"
4,0.5,"[0.24675324675324675, 0.3157894736842105, 0.35064935064935066, 0.37037037037037035]"
4,0.5,"[0.23376623376623376, 0.3888888888888889, 0.22077922077922077, 0.35294117647058826]"
4,0.5,"[0.36363636363636365, 0.42857142857142855, 0.5584415584415584, 0.2558139534883721]"
10,1.5,"[0.3246753246753247, 0.44, 0.5324675324675324, 0.34146341463414637]"
10,1.5,"[0.36363636363636365, 0.39285714285714285, 0.4805194805194805, 0.24324324324324326]"
10,1.5,"[0.36363636363636365, 0.32142857142857145, 0.42857142857142855, 0.30303030303030304]"
10,1.5,"[0.36363636363636365, 0.2857142857142857, 0.5064935064935064, 0.3076923076923077]"
10,1.5,"[0.3116883116883117, 0.5, 0.4025974025974026, 0.2903225806451613]"
10,1.5,"[0.44155844155844154, 0.38235294117647056, 0.6493506493506493, 0.26]"
10,1.5,"[0.06493506493506493, 0.8, 0.05194805194805195, 0.75]"
10,1.5,"[0.36363636363636365, 0.35714285714285715, 0.4935064935064935, 0.3157894736842105]"
10,1.5,"[0.2597402597402597, 0.55, 0.5324675324675324, 0.2682926829268293]"
10,1.5,"[0.3116883116883117, 0.2916666666666667, 0.4675324675324675, 0.25]"
3,1.25,"[0.09090909090909091, 0.7142857142857143, 0.06493506493506493, 1.0]"
3,1.25,"[0.2857142857142857, 0.5454545454545454, 0.4025974025974026, 0.3548387096774194]"
3,1.25,"[0.23376623376623376, 0.3333333333333333, 0.19480519480519481, 0.26666666666666666]"
3,1.25,"[0.06493506493506493, 0.8, 0.07792207792207792, 0.6666666666666666]"
3,1.25,"[0.05194805194805195, 0.5, 0.025974025974025976, 1.0]"
3,1.25,"[0.14285714285714285, 0.36363636363636365, 0.09090909090909091, 0.8571428571428571]"
3,1.25,"[0.06493506493506493, 0.8, 0.06493506493506493, 0.8]"
3,1.25,"[0.19480519480519481, 0.3333333333333333, 0.07792207792207792, 0.8333333333333334]"
3,1.25,"[0.2987012987012987, 0.391304347826087, 0.2597402597402597, 0.55]"
3,1.25,"[0.22077922077922077, 0.5294117647058824, 0.22077922077922077, 0.47058823529411764]"
5,0.5,"[0.3116883116883117, 0.5, 0.3116883116883117, 0.4583333333333333]"
5,0.5,"[0.4155844155844156, 0.34375, 0.4805194805194805, 0.35135135135135137]"
5,0.5,"[0.3116883116883117, 0.375, 0.38961038961038963, 0.3]"
5,0.5,"[0.35064935064935066, 0.2222222222222222, 0.2987012987012987, 0.30434782608695654]"
5,0.5,"[0.3116883116883117, 0.4583333333333333, 0.2727272727272727, 0.6666666666666666]"
5,0.5,"[0.11688311688311688, 0.4444444444444444, 0.09090909090909091, 0.7142857142857143]"
5,0.5,"[0.4025974025974026, 0.3870967741935484, 0.44155844155844154, 0.23529411764705882]"
5,0.5,"[0.14285714285714285, 0.45454545454545453, 0.09090909090909091, 0.7142857142857143]"
5,0.5,"[0.37662337662337664, 0.2413793103448276, 0.19480519480519481, 0.4666666666666667]"
5,0.5,"[0.09090909090909091, 0.5714285714285714, 0.09090909090909091, 0.5714285714285714]"
1,1.5,"[0.2857142857142857, 0.36363636363636365, 0.14285714285714285, 0.6363636363636364]"
1,1.5,"[0.2077922077922078, 0.4375, 0.8961038961038961, 0.11594202898550725]"
1,1.5,"[0.14285714285714285, 0.45454545454545453, 0.14285714285714285, 0.6363636363636364]"
1,1.5,"[0.36363636363636365, 0.5, 0.6103896103896104, 0.23404255319148937]"
1,1.5,"[0.36363636363636365, 0.42857142857142855, 0.5194805194805194, 0.35]"
1,1.5,"[0.2987012987012987, 0.391304347826087, 0.7142857142857143, 0.18181818181818182]"
1,1.5,"[0.4675324675324675, 0.5277777777777778, 0.5064935064935064, 0.41025641025641024]"
1,1.5,"[0.37662337662337664, 0.4827586206896552, 0.5714285714285714, 0.3181818181818182]"
1,1.5,"[0.36363636363636365, 0.5, 0.6233766233766234, 0.22916666666666666]"
1,1.5,"[0.4025974025974026, 0.5161290322580645, 0.7142857142857143, 0.23636363636363636]"
0,1.5,"[0.05194805194805195, 1.0, 0.06493506493506493, 0.6]"
0,1.5,"[0.12987012987012986, 0.6, 0.1038961038961039, 0.75]"
0,1.5,"[0.05194805194805195, 0.75, 0.03896103896103896, 1.0]"
0,1.5,"[0.05194805194805195, 0.5, 0.025974025974025976, 1.0]"
0,1.5,"[0.09090909090909091, 0.2857142857142857, 0.025974025974025976, 1.0]"
0,1.5,"[0.012987012987012988, 1.0, 0.012987012987012988, 1.0]"
0,1.5,"[0.11688311688311688, 0.6666666666666666, 0.1038961038961039, 0.875]"
0,1.5,"[0.012987012987012988, 1.0, 0.012987012987012988, 1.0]"
0,1.5,"[0.05194805194805195, 0.25, 0.012987012987012988, 1.0]"
0,1.5,"[0.03896103896103896, 1.0, 0.03896103896103896, 1.0]"
3,1.5,"[0.3116883116883117, 0.375, 0.36363636363636365, 0.21428571428571427]"
3,1.5,"[0.025974025974025976, 1.0, 0.025974025974025976, 1.0]"
3,1.5,"[0.06493506493506493, 0.6, 0.06493506493506493, 0.8]"
3,1.5,"[0.012987012987012988, 1.0, 0.012987012987012988, 1.0]"
3,1.5,"[0.19480519480519481, 0.7333333333333333, 0.37662337662337664, 0.3103448275862069]"
3,1.5,"[0.24675324675324675, 0.21052631578947367, 0.2597402597402597, 0.3]"
3,1.5,"[0.1038961038961039, 0.5, 0.1038961038961039, 0.625]"
3,1.5,"[0.19480519480519481, 0.4, 0.2727272727272727, 0.23809523809523808]"
3,1.5,"[0.2597402597402597, 0.45, 0.37662337662337664, 0.2413793103448276]"
3,1.5,"[0.22077922077922077, 0.35294117647058826, 0.22077922077922077, 0.29411764705882354]"
4,1.0,"[0.3246753246753247, 0.64, 0.5584415584415584, 0.27906976744186046]"
4,1.0,"[0.06493506493506493, 0.8, 0.09090909090909091, 0.5714285714285714]"
4,1.0,"[0.12987012987012986, 0.4, 0.07792207792207792, 0.6666666666666666]"
4,1.0,"[0.33766233766233766, 0.2692307692307692, 0.36363636363636365, 0.2857142857142857]"
4,1.0,"[0.23376623376623376, 0.3333333333333333, 0.2597402597402597, 0.4]"
4,1.0,"[0.35064935064935066, 0.4444444444444444, 0.5454545454545454, 0.2857142857142857]"
4,1.0,"[0.3246753246753247, 0.32, 0.35064935064935066, 0.3333333333333333]"
4,1.0,"[0.03896103896103896, 1.0, 0.05194805194805195, 0.75]"
4,1.0,"[0.2857142857142857, 0.5, 0.6233766233766234, 0.20833333333333334]"
4,1.0,"[0.2987012987012987, 0.5652173913043478, 0.5454545454545454, 0.3333333333333333]"
2,1.5,"[0.19480519480519481, 0.4, 0.19480519480519481, 0.3333333333333333]"
2,1.5,"[0.12987012987012986, 0.1, 0.025974025974025976, 1.0]"
2,1.5,"[0.16883116883116883, 0.38461538461538464, 0.14285714285714285, 0.36363636363636365]"
2,1.5,"[0.18181818181818182, 0.21428571428571427, 0.1038961038961039, 0.375]"
2,1.5,"[0.2857142857142857, 0.36363636363636365, 0.2727272727272727, 0.42857142857142855]"
2,1.5,"[0.12987012987012986, 0.3, 0.05194805194805195, 1.0]"
2,1.5,"[0.025974025974025976, 1.0, 0.025974025974025976, 1.0]"
2,1.5,"[0.23376623376623376, 0.3888888888888889, 0.23376623376623376, 0.3888888888888889]"
2,1.5,"[0.2987012987012987, 0.43478260869565216, 0.37662337662337664, 0.3793103448275862]"
2,1.5,"[0.06493506493506493, 0.6, 0.06493506493506493, 0.6]"
5,1.0,"[0.03896103896103896, 1.0, 0.05194805194805195, 0.75]"
5,1.0,"[0.35064935064935066, 0.3333333333333333, 0.3246753246753247, 0.36]"
5,1.0,"[0.09090909090909091, 0.8571428571428571, 0.12987012987012986, 0.6]"
5,1.0,"[0.025974025974025976, 1.0, 0.025974025974025976, 1.0]"
5,1.0,"[0.35064935064935066, 0.3333333333333333, 0.38961038961038963, 0.3333333333333333]"
5,1.0,"[0.15584415584415584, 0.4166666666666667, 0.15584415584415584, 0.4166666666666667]"
5,1.0,"[0.2857142857142857, 0.5454545454545454, 0.5324675324675324, 0.2926829268292683]"
5,1.0,"[0.24675324675324675, 0.3684210526315789, 0.19480519480519481, 0.6666666666666666]"
5,1.0,"[0.2857142857142857, 0.45454545454545453, 0.38961038961038963, 0.36666666666666664]"
5,1.0,"[0.36363636363636365, 0.39285714285714285, 0.4675324675324675, 0.3055555555555556]"
2,0.75,"[0.025974025974025976, 0.5, 0.012987012987012988, 1.0]"
2,0.75,"[0.2077922077922078, 0.1875, 0.09090909090909091, 0.5714285714285714]"
2,0.75,"[0.06493506493506493, 0.2, 0.012987012987012988, 1.0]"
2,0.75,"[0.2597402597402597, 0.55, 0.45454545454545453, 0.2571428571428571]"
2,0.75,"[0.38961038961038963, 0.5, 0.4935064935064935, 0.3157894736842105]"
2,0.75,"[0.2077922077922078, 0.1875, 0.05194805194805195, 1.0]"
2,0.75,"[0.2727272727272727, 0.38095238095238093, 0.2727272727272727, 0.3333333333333333]"
2,0.75,"[0.3116883116883117, 0.375, 0.23376623376623376, 0.3888888888888889]"
2,0.75,"[0.22077922077922077, 0.35294117647058826, 0.16883116883116883, 0.23076923076923078]"
2,0.75,"[0.23376623376623376, 0.4444444444444444, 0.2597402597402597, 0.4]"
2,1.25,"[0.3246753246753247, 0.32, 0.4155844155844156, 0.34375]"
2,1.25,"[0.025974025974025976, 0.5, 0.012987012987012988, 1.0]"
2,1.25,"[0.3246753246753247, 0.4, 0.3116883116883117, 0.375]"
2,1.25,"[0.24675324675324675, 0.21052631578947367, 0.12987012987012986, 0.5]"
2,1.25,"[0.2727272727272727, 0.3333333333333333, 0.24675324675324675, 0.3684210526315789]"
2,1.25,"[0.24675324675324675, 0.2631578947368421, 0.35064935064935066, 0.2222222222222222]"
2,1.25,"[0.09090909090909091, 0.42857142857142855, 0.05194805194805195, 1.0]"
2,1.25,"[0.23376623376623376, 0.3333333333333333, 0.22077922077922077, 0.47058823529411764]"
2,1.25,"[0.11688311688311688, 0.3333333333333333, 0.07792207792207792, 0.8333333333333334]"
2,1.25,"[0.2727272727272727, 0.47619047619047616, 0.33766233766233766, 0.3076923076923077]"
10,0.5,"[0.4025974025974026, 0.41935483870967744, 0.45454545454545453, 0.4]"
10,0.5,"[0.38961038961038963, 0.4, 0.37662337662337664, 0.2413793103448276]"
